epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1706.49,1.04384,1.95419,0.99606,0.55214,0.36607,0.41591,0.279,1.33821,2.78969,1.22711,0.00038583,0.00038583,0.00038583
2,3638.57,0.89338,1.09814,0.91413,0.3566,0.41668,0.35917,0.22557,1.33798,2.77656,1.18086,0.000772982,0.000772982,0.000772982
3,5272.93,0.84991,0.97372,0.90953,0.50415,0.46449,0.48559,0.30022,1.34217,2.93468,1.21825,0.00114693,0.00114693,0.00114693
4,7109.62,0.85264,0.90755,0.91024,0.57825,0.49179,0.50658,0.34328,1.41135,3.24329,1.31755,0.00135826,0.00135826,0.00135826
5,8707.96,0.87591,0.87153,0.90795,0.55785,0.50503,0.52961,0.33999,1.57566,3.08114,1.50111,0.00133469,0.00133469,0.00133469
6,10211,0.84173,0.83727,0.90728,0.7291,0.44581,0.50736,0.35297,1.434,2.32366,1.34237,0.00131111,0.00131111,0.00131111
7,11733.9,0.83378,0.78505,0.89113,0.59126,0.50932,0.52565,0.38229,1.2865,2.30464,1.22191,0.00128753,0.00128753,0.00128753
8,13206.6,0.76861,0.69985,0.87771,0.6177,0.47532,0.5106,0.38542,1.39526,2.12726,1.35123,0.00126395,0.00126395,0.00126395
9,14631.1,0.74075,0.61432,0.88463,0.72373,0.4816,0.50695,0.3769,1.43913,2.2603,1.37904,0.00124037,0.00124037,0.00124037
10,15927.5,0.72723,0.66679,0.88101,0.69749,0.45156,0.50653,0.38536,1.47518,2.50111,1.42587,0.00121679,0.00121679,0.00121679
11,17022.9,0.70687,0.61044,0.86385,0.69887,0.47289,0.51844,0.37665,1.35464,2.19829,1.31811,0.00119322,0.00119322,0.00119322
12,18080.3,0.70417,0.62978,0.87194,0.66854,0.46304,0.52267,0.3828,1.36328,2.14489,1.36664,0.00116964,0.00116964,0.00116964
13,19058.9,0.67717,0.58955,0.86844,0.62106,0.49887,0.50209,0.37427,1.44511,2.10469,1.49784,0.00114606,0.00114606,0.00114606
14,20001.6,0.7047,0.59405,0.87255,0.64212,0.4608,0.48644,0.3635,1.45812,2.48174,1.45672,0.00112248,0.00112248,0.00112248
15,20884.2,0.67572,0.57022,0.85477,0.66619,0.53886,0.52348,0.39045,1.34628,2.20875,1.42203,0.0010989,0.0010989,0.0010989
16,21797.5,0.64022,0.50243,0.85914,0.63019,0.53295,0.52299,0.40361,1.25407,2.19146,1.35446,0.00107532,0.00107532,0.00107532
17,22677.2,0.64777,0.50721,0.85606,0.66607,0.51236,0.50544,0.40086,1.25631,2.42916,1.3401,0.00105174,0.00105174,0.00105174
18,23575.9,0.659,0.51357,0.86005,0.74387,0.47468,0.50625,0.39034,1.28449,2.63571,1.35348,0.00102817,0.00102817,0.00102817
19,24563.8,0.66827,0.51341,0.85792,0.61707,0.52136,0.52707,0.38206,1.48533,2.5917,1.45878,0.00100459,0.00100459,0.00100459
20,25648.2,0.68214,0.49689,0.868,0.78286,0.49419,0.54399,0.41618,1.4549,2.17059,1.51429,0.000981008,0.000981008,0.000981008
21,26833.7,0.67187,0.52349,0.853,0.71421,0.4821,0.53385,0.41174,1.44497,2.15346,1.47313,0.00095743,0.00095743,0.00095743
22,28035.7,0.62129,0.50754,0.85423,0.70863,0.49653,0.53859,0.41605,1.47445,2.18748,1.56647,0.000933851,0.000933851,0.000933851
23,29267.4,0.60825,0.47674,0.852,0.75955,0.53386,0.54701,0.41529,1.34758,2.24949,1.42155,0.000910273,0.000910273,0.000910273
24,30423.9,0.61036,0.45185,0.85183,0.76665,0.50534,0.53548,0.4136,1.2752,2.31918,1.39467,0.000886694,0.000886694,0.000886694
25,31592.5,0.58107,0.4617,0.84466,0.72682,0.54029,0.54686,0.42345,1.24946,2.33689,1.35129,0.000863116,0.000863116,0.000863116
26,32758.6,0.59444,0.45109,0.84939,0.73703,0.52504,0.53563,0.4128,1.30134,2.27749,1.35622,0.000839537,0.000839537,0.000839537
27,33882,0.58102,0.45645,0.84214,0.79125,0.50829,0.54605,0.41779,1.35665,2.14683,1.38973,0.000815959,0.000815959,0.000815959
28,35010.9,0.5901,0.45013,0.84967,0.73521,0.53381,0.54474,0.42716,1.36431,2.2129,1.42718,0.00079238,0.00079238,0.00079238
29,36143,0.58642,0.4619,0.83953,0.73035,0.52243,0.54553,0.42026,1.36127,2.24235,1.42917,0.000768802,0.000768802,0.000768802
30,37259.7,0.56306,0.47887,0.83837,0.67397,0.53112,0.53645,0.41166,1.40456,2.13788,1.48909,0.000745223,0.000745223,0.000745223
31,38361.7,0.58609,0.47001,0.85266,0.70017,0.52779,0.52433,0.40049,1.42819,2.2945,1.53422,0.000721645,0.000721645,0.000721645
32,39447.5,0.57762,0.43742,0.8447,0.66429,0.52672,0.50652,0.39424,1.38325,2.3089,1.55957,0.000698066,0.000698066,0.000698066
33,40564,0.56689,0.4442,0.84382,0.73902,0.53234,0.54607,0.41235,1.34296,2.09521,1.49161,0.000674488,0.000674488,0.000674488
34,41659.1,0.55861,0.42917,0.838,0.79415,0.51713,0.54984,0.42051,1.30976,2.23655,1.42045,0.000650909,0.000650909,0.000650909
35,42719.2,0.54824,0.38404,0.83691,0.83089,0.49323,0.54542,0.43417,1.28942,2.2342,1.39593,0.000627331,0.000627331,0.000627331
36,43822.3,0.54697,0.41067,0.8328,0.81717,0.49977,0.5403,0.42426,1.3638,2.17643,1.4398,0.000603752,0.000603752,0.000603752
37,45148.3,0.57434,0.41936,0.84185,0.66308,0.53739,0.54556,0.42808,1.43662,2.21583,1.54647,0.000580174,0.000580174,0.000580174
